Doctor_Qualification,Doctor_id,Doctor_name,Hospital_Id,State
MBBS,21964,Dr.Michael Woods,1000,Colorado
BHMS,12562,Dr.Robert Diaz,1001,Alaska
MBBS,21136,Dr.Elizabeth Wang,1002,North Carolina
MBBS,20922,Dr.Richard Tran,1003,Iowa
BHMS,13911,Dr.Renee Washington,1004,Delaware
BHMS,12681,Dr.Sean Martinez,1005,New Jersey
MBBS,16050,Dr.Jill Goodman,1006,Vermont
MD,21158,Dr.Sara Jones,1007,Vermont
MBBS,16009,Dr.Erika Fuller,1008,Hawaii
MD,14275,Dr.William Mathis,1009,New Jersey
BHMS,12239,Dr.Cameron Cooper,1010,Nevada
BHMS,21474,Dr.James Payne,1011,New Hampshire
MD,13253,Dr.Dustin Sloan,1012,Alabama
MBBS,15407,Dr.Alexis Stanley,1013,Washington
MBBS,21876,Dr.Jimmy Castillo,1014,Louisiana
MD,14733,Dr.Charles Fitzgerald,1015,Virginia
MD,17222,Dr.Melissa Silva,1016,Utah
MBBS,15832,Dr.Eric Jenkins,1017,PennsylvaniaRhode Island
MD,14364,Dr.Carlos Nelson,1018,Idaho
BHMS,20657,Dr.Jose Bishop,1019,Iowa
BHMS,21421,Dr.Christopher Long,1020,Oklahoma
MD,14558,Dr.Rachel Shea,1021,Kansas
MS,13538,Dr.Frank Whitney,1022,New Mexico
MBBS,21321,Dr.Samantha Ryan,1023,North Carolina
MS,16364,Dr.Kristen Ballard,1024,Alaska
MBBS,17524,Dr.Jeffrey Orr,1025,Iowa
BHMS,17251,Dr.Mr. Walter Bonilla,1026,Wyoming
MBBS,13889,Dr.Stephanie Fields,1027,Washington
MS,16633,Dr.Ashley Moore,1028,Vermont
MBBS,20031,Dr.Jennifer Moore,1029,Minnesota
MBBS,19034,Dr.Juan Morse,1030,North Carolina
MBBS,15410,Dr.Aaron Matthews,1031,Vermont
MD,14069,Dr.Brian Gonzales,1032,New Hampshire
MS,21520,Dr.Emily Gray,1033,Connecticut
MD,18259,Dr.Wayne Brock MD,1034,Michigan
BHMS,18516,Dr.Robert Evans,1035,New Hampshire
MS,14939,Dr.Mr. Austin Larson III,1036,Georgia
BHMS,12925,Dr.Erin Leon,1037,Oklahoma
MBBS,13409,Dr.Kevin Keller,1038,Arkansas
MS,14943,Dr.Michaela Becker,1039,Minnesota
MD,13699,Dr.Kristy Franklin,1040,Kentucky
MD,18483,Dr.Mary Alexander,1041,Tennessee
BHMS,15457,Dr.Norman Spears,1042,New Mexico
MD,15058,Dr.Diana Powers,1043,Maryland
BHMS,14256,Dr.Jane Rasmussen,1044,New Hampshire
MD,15280,Dr.Peter Collins,1045,Kentucky
BHMS,17494,Dr.Reginald Neal,1046,Wyoming
MBBS,15974,Dr.Jeremy Armstrong,1047,New York
MBBS,12655,Dr.Alison Mcdonald,1048,Maryland
MS,21276,Dr.Barbara Walton,1049,Wyoming
MD,18534,Dr.Christine Watson,1050,Tennessee
BHMS,12528,Dr.Javier Pitts,1051,Georgia
MD,13887,Dr.Devon Hardy,1052,Maryland
MS,15201,Dr.John Turner,1053,Oklahoma
MBBS,21303,Dr.Glenn Robertson,1054,Maryland
BHMS,17349,Dr.Kimberly Simmons,1055,Massachusetts
MS,15168,Dr.Karen Price,1056,Oklahoma
BHMS,19313,Dr.Bobby Rodriguez,1057,South Dakota
MBBS,20505,Dr.Eric Hanson MD,1058,Massachusetts
MS,20519,Dr.Heather Quinn,1059,Oregon
MD,16798,Dr.George Brooks,1060,Arizona
MBBS,12763,Dr.Steve Scott,1061,New York
MBBS,14519,Dr.Michael Porter,1062,Michigan
MD,21834,Dr.Patricia Lewis,1063,Delaware
MBBS,15035,Dr.Lisa Harrison,1064,PennsylvaniaRhode Island
BHMS,13689,Dr.Tyler Shepherd III,1065,Michigan
BHMS,13279,Dr.Michelle Glover,1066,Arizona
MD,16950,Dr.Ashlee Goodman,1067,MontanaNebraska
MS,21237,Dr.Christina Parker,1068,Minnesota
MD,16988,Dr.Erin Brown,1069,Maine
MD,19623,Dr.Jessica Grant,1070,Utah
